company,company_link,job_link,job_title,location,new_offer,rating
Contents.com,,https://it.indeed.com/company/Contents.com/jobs/Junior-Project-Manager-5d099b123ce4f059?fccid=2220239800040891&vjs=3,Junior Project Manager,20136 Milano,,
Sintra Digital Business,,https://it.indeed.com/company/Sintra-Digital-Business/jobs/Senior-Project-Manager-62bb8d65529aeaa3?fccid=6326c733473baf82&vjs=3,Senior Project Manager,52100 Arezzo,True,
Baker Hughes,https://it.indeed.com/cmp/Baker-Hughes-Incorporated,https://it.indeed.com/rc/clk?jk=193d271b08adc10b&fccid=f4c6ba597fc7aa75&vjs=3,New Energy & Industrial Project Manager,Da remoto in 50127 Firenze,,4.0
Gigasweb,,https://it.indeed.com/rc/clk?jk=2643550cadaff01d&fccid=b20ff73f8890d600&vjs=3,Project Manager,"Roma, Lazio",,
Apis srl - Agenzia per il Lavoro,,https://it.indeed.com/company/Apis-srl---Agenzia-per-il-Lavoro/jobs/Project-Manager-c8c85d5ce8e6f9f1?fccid=0457d70a80a41c43&vjs=3,Project Manager,"Roma, Lazio",,
Salesforce,https://it.indeed.com/cmp/Salesforce,https://it.indeed.com/rc/clk?jk=5578b74e2d1afa7a&fccid=4027cfd917e1ee29&vjs=3,"Senior Manager, Disabilities @ Work","Roma, Lazio",,4.3
F.S.I. S.R.L.,,https://it.indeed.com/company/VME-S.R.L.-s.u./jobs/Project-Manager-b6368bd9bcaecb96?fccid=a984c43837d22e1f&vjs=3,PROJECT MANAGER - FACILITY,"Nova Milanese, Lombardia",True,
Broxlab,,https://it.indeed.com/rc/clk?jk=74d1eafc1c29c76f&fccid=f7b1bdc29dda9e60&vjs=3,Project Manager,"Potenza, Basilicata",,
Takeda Pharmaceutical,https://it.indeed.com/cmp/Takeda-Pharmaceuticals,https://it.indeed.com/rc/clk?jk=e19508c254f0ae72&fccid=4819693c833d5b6e&vjs=3,Trade & Operations Senior Manager,"Roma, Lazio",,3.7
Hootsuite,,https://it.indeed.com/rc/clk?jk=143410d1081f0b18&fccid=cc35cdc10c90c921&vjs=3,Senior Customer Success Manager,"Roma, Lazio",,
AzzurroDigitale Srl,,https://it.indeed.com/rc/clk?jk=02fdd51a8ca2f1df&fccid=57298ec68d0341cf&vjs=3,Project Manager,35129 Padova,,
Bata,https://it.indeed.com/cmp/Bata,https://it.indeed.com/rc/clk?jk=f7b69fb725e55cf4&fccid=9f24613f3d49b3a9&vjs=3,Communication Specialist,Da remoto in 35010 Limena,,3.7
KPMG,https://it.indeed.com/cmp/Kpmg-0828bc85,https://it.indeed.com/rc/clk?jk=c78f5011eb69a722&fccid=2dd390c3a48a7ed0&vjs=3,Project Manager Operations,"Torino, Piemonte",,3.9
MAS Management Network,,https://it.indeed.com/company/MAS-Management-Network/jobs/Project-Manager-Senior-0c2b6964c14989a2?fccid=8a0a226ea6106750&vjs=3,Project Manager Senior,"Novara, Piemonte",,
Carbon60 Global,,https://it.indeed.com/rc/clk?jk=4310fba9af1d2e10&fccid=8ab14b8c2c660019&vjs=3,Permitting Manager,"Bologna, Emilia-Romagna",,
Accenture,https://it.indeed.com/cmp/Accenture,https://it.indeed.com/rc/clk?jk=69ef880286b5a1c6&fccid=a4e4e2eaf26690c9&vjs=3,Commercial Excellence Manager for Life Sciences Industry [Online / Phone Recruitment],"Roma, Lazio",,4.0
Serioplast,https://it.indeed.com/cmp/Serioplast-Spa-1,https://it.indeed.com/rc/clk?jk=209a413b1370d1a4&fccid=67bdba47b2d6b3a0&vjs=3,Project Manager,"Seriate, Lombardia",,3.2
Accenture,https://it.indeed.com/cmp/Accenture,https://it.indeed.com/rc/clk?jk=69ef880286b5a1c6&fccid=a4e4e2eaf26690c9&vjs=3,Commercial Excellence Manager for Life Sciences Industry [Online / Phone Recruitment],"Roma, Lazio",,4.0
Serioplast,https://it.indeed.com/cmp/Serioplast-Spa-1,https://it.indeed.com/rc/clk?jk=209a413b1370d1a4&fccid=67bdba47b2d6b3a0&vjs=3,Project Manager,"Seriate, Lombardia",,3.2
Blazar Consulting - BLAZAR GROUP,,https://it.indeed.com/company/Blazar-Consulting---BLAZAR-GROUP/jobs/Junior-Project-Manager-474b718b805d9303?fccid=958e3579650907c5&vjs=3,Junior Project Manager,"Da remoto in Milano, Lombardia",True,
Mott MacDonald,,https://it.indeed.com/rc/clk?jk=cd4ea645ecf9e798&fccid=edb4bf50a19b70a9&vjs=3,Project Manager,"Genova, Liguria",,
Aim Communication,,https://it.indeed.com/company/Aim-Communication/jobs/Junior-Project-Manager-3894f22d864ce31e?fccid=21def4b8274e7658&vjs=3,Junior Project Manager,20141 Milano,True,
Danieli Group,https://it.indeed.com/cmp/Danieli-Group-2,https://it.indeed.com/rc/clk?jk=52663fd0f44429ac&fccid=930dbc5e69ace386&vjs=3,Project Manager,"Buttrio, Friuli-Venezia Giulia",True,3.7
Barilla,https://it.indeed.com/cmp/Barilla,https://it.indeed.com/rc/clk?jk=8acaf68487209f2d&fccid=e03054eb729ed11d&vjs=3,International Media and External Relations Manager,"Parma, Emilia-Romagna",True,4.2
Salesforce,https://it.indeed.com/cmp/Salesforce,https://it.indeed.com/rc/clk?jk=481dc5c7cf41ac8b&fccid=4027cfd917e1ee29&vjs=3,Partner Ecosystem Development Manager,"Roma, Lazio",True,4.3
Catalent,https://it.indeed.com/cmp/Catalent-Pharma-Solutions,https://it.indeed.com/rc/clk?jk=bb32d9e82f4f1e24&fccid=fe0933928b3bb3ad&vjs=3,Packaging Manager,"Aprilia, Lazio",,3.1
Thales Group,https://it.indeed.com/cmp/Thales,https://it.indeed.com/rc/clk?jk=503eecb90b54f248&fccid=b920aab5fd60595d&vjs=3,execution and performance manager,"Roma, Lazio",,3.9
Arché Travel,,https://it.indeed.com/company/Arche-Travel-Media-srl/jobs/Project-Manager-Tour-Operator-6d121cf9578479b7?fccid=9b44c2cc1320dbbe&vjs=3,Project Manager Tour Operator - Mercato Francese,"Da remoto in Torino, Piemonte",,
Salesforce,https://it.indeed.com/cmp/Salesforce,https://it.indeed.com/rc/clk?jk=8b6669155b89e23a&fccid=4027cfd917e1ee29&vjs=3,Engagement Manager,"Roma, Lazio",,4.3
Sacmi Tech S.p.A.,,https://it.indeed.com/rc/clk?jk=7e1a7bd16201b971&fccid=2dc19a897cb8ebfa&vjs=3,Project Manager,"Casalgrande, Emilia-Romagna",,
Business Competence S.r.l.,,https://it.indeed.com/rc/clk?jk=f221a3229e1a2ec7&fccid=3429120fccc981f7&vjs=3,Team Leader,"Roma, Lazio",,
Miroglio spa,https://it.indeed.com/cmp/Miroglio,https://it.indeed.com/rc/clk?jk=1571cd1eda097909&fccid=72a3ef46061d8790&vjs=3,Digital Project Manager,"Da remoto in Milano, Lombardia",True,3.9
SpotView,,https://it.indeed.com/rc/clk?jk=f5d7703c1c7ce5f5&fccid=b967b01c263bb27e&vjs=3,Digital Project Manager,"Da remoto in Bologna, Emilia-Romagna",,
Danieli Group,https://it.indeed.com/cmp/Danieli-Group-2,https://it.indeed.com/rc/clk?jk=ae1f78b27939df15&fccid=930dbc5e69ace386&vjs=3,PROJECT MANAGER OPERE CIVILI (Dan Cons),"Buttrio, Friuli-Venezia Giulia",True,3.7
Meta,,https://it.indeed.com/rc/clk?jk=43705938cad2f18d&fccid=ba07516c418dda52&vjs=3,Employee Relations Manager,,True,
W&H Sterilization,,https://it.indeed.com/company/W&H-Sterilization/jobs/Project-Manager-b2d5ff7804c515d8?fccid=337933a686d5390f&vjs=3,Project Manager,24060 Brusaporto,,
Bending Spoons,https://it.indeed.com/cmp/Bending-Spoons,https://it.indeed.com/rc/clk?jk=168d266174bbf1cb&fccid=7991f5ede7f784c6&vjs=3,Junior program manager,"Da remoto in Provincia di Oristano, Sardegna",,4.5
ISA Digital Consulting,,https://it.indeed.com/rc/clk?jk=f1450c40516022d7&fccid=949e7e1fa14fea64&vjs=3,SENIOR IT PROGRAM MANAGER,"Roma, Lazio",,
LUXOTTICA,https://it.indeed.com/cmp/Luxottica,https://it.indeed.com/rc/clk?jk=0aca77c85feb22bf&fccid=a49d99f2875604a1&vjs=3,Project Manager Construction,"Milano, Lombardia",,3.6
Amazon EU SARL (Italy Branch),https://it.indeed.com/cmp/Amazon.com,https://it.indeed.com/rc/clk?jk=4f66b4b2ff5573ea&fccid=fe2d21eef233e94a&vjs=3,"Creative Project Manager, EU WFS Marketing, Brand and Creative Team","Milano, Lombardia",True,3.5
YOOX NET-A-PORTER GROUP,https://it.indeed.com/cmp/Yoox-Net--a--porter-Group,https://it.indeed.com/rc/clk?jk=e72af91cd16671c1&fccid=6e26b42cbf176bca&vjs=3,Project Manager,"Milano, Lombardia",,3.3
artINGEGNERIA s.r.l.,,https://it.indeed.com/company/artINGEGNERIA-S.R.L./jobs/Project-Manager-c5a04e65d198cedf?fccid=b34877d482cd18ea&vjs=3,Project Manager,"Gallarate, Lombardia",True,
Cognita Srl,,https://it.indeed.com/company/Cognita-Srl/jobs/Project-Manager-02a147d3c7a7895c?fccid=a528d61890576c03&vjs=3,Project Manager,74015 Martina Franca,,
BayWa r.e.,,https://it.indeed.com/rc/clk?jk=83680a124c5774c5&fccid=2cfa74bd983626bf&vjs=3,Procurement Manager,"Roma, Lazio",,
Hitachi Rail STS S.p.A.,https://it.indeed.com/cmp/Hitachi-Rail,https://it.indeed.com/rc/clk?jk=ef08a0e77d6ca020&fccid=b727a0823ada2316&vjs=3,PROJECT CONTROLLER,80147 Napoli,,3.4
AstraZeneca,https://it.indeed.com/cmp/Astrazeneca,https://it.indeed.com/rc/clk?jk=909709bb38ee52cc&fccid=003656df63cede32&vjs=3,Omnichannel Strategy Manager,20157 Milano,True,4.1
IQVIA,https://it.indeed.com/cmp/Iqvia,https://it.indeed.com/rc/clk?jk=c2602c6032dbf48f&fccid=6b7a1dfe07e7f037&vjs=3,"Clinical Project Manager ( EU, Remote) IQVIA Medtech",,,3.8
IQVIA,https://it.indeed.com/cmp/Iqvia,https://it.indeed.com/rc/clk?jk=c2602c6032dbf48f&fccid=6b7a1dfe07e7f037&vjs=3,"Clinical Project Manager ( EU, Remote) IQVIA Medtech",,,3.8
Tempi Moderni Spa,https://it.indeed.com/cmp/Tempi-Moderni-Spa,https://it.indeed.com/rc/clk?jk=a14cc28b6c7f94f7&fccid=347759b4fd857467&vjs=3,ICT PROJECT MANAGER,"Roma, Lazio",,3.2
Banca Sella,https://it.indeed.com/cmp/Banca-Sella,https://it.indeed.com/rc/clk?jk=ae6210c58697d6a8&fccid=ac27de098b3dce9d&vjs=3,Junior Project Manager ESG,"Da remoto in Biella, Piemonte",,3.8
E-CO E-Learning Studio,,https://it.indeed.com/rc/clk?jk=8705f645128c5100&fccid=d3a7164fd871cc16&vjs=3,LEARNING CONTENT MANAGER,Da remoto in 00156 Roma,,
NetApp,,https://it.indeed.com/rc/clk?jk=8db0f4749c6744e8&fccid=77cec2f25f9bd7ed&vjs=3,Sales Representative,"Roma, Lazio",,
Nordex SE,https://it.indeed.com/cmp/Nordex-Group,https://it.indeed.com/rc/clk?jk=390077b2265b4d34&fccid=6e245dd0340ccf46&vjs=3,Continuous Improvement Manager (m/f/d),"Roma, Lazio",,3.7
Hitachi Energy,,https://it.indeed.com/rc/clk?jk=3c98e0225862c162&fccid=8774bcbf6844c59c&vjs=3,Junior Project Manager,"Lodi, Lombardia",,
Danfoss,https://it.indeed.com/cmp/Danfoss,https://it.indeed.com/rc/clk?jk=3878e4ac867d2713&fccid=86990856f142974f&vjs=3,Project Manager,"Merano, Trentino-Alto Adige",,3.8
E.On,https://it.indeed.com/cmp/E.on,https://it.indeed.com/rc/clk?jk=c68db923ceddcc9b&fccid=cade3d70855267e6&vjs=3,Project Manager Condo,"Milano, Lombardia",,3.6
Heineken,https://it.indeed.com/cmp/Heineken,https://it.indeed.com/rc/clk?jk=8c030e887ba93697&fccid=9d3fc2c7bbc80ecb&vjs=3,Maintenance Manager,11020 Pollein,,4.2
Sidel,https://it.indeed.com/cmp/Sidel,https://it.indeed.com/rc/clk?jk=79f0a8f3f5857a98&fccid=3279269af0f281cc&vjs=3,Project Manager Supply,"Parma, Emilia-Romagna",,3.9
SCR Selezione e consulenza per le risorse umane,https://it.indeed.com/cmp/Scr-Selezioni,https://it.indeed.com/rc/clk?jk=6d5edc770d282d4a&fccid=071a675578131651&vjs=3,IT Manager,31040 Nervesa della Battaglia,,3.7
Federico Ferlini,,https://it.indeed.com/rc/clk?jk=b482f47d053a87e2&fccid=cab149ecb7d742ff&vjs=3,Project Manager,"Verona, Veneto",,
Dedalus Italia S.p.A.,https://it.indeed.com/cmp/Dedalus-S.p.a,https://it.indeed.com/rc/clk?jk=0b014f1a1580dd9d&fccid=9eb0cab22e2252b0&vjs=3,Project Manager IT Expert,Da remoto in 95121 Catania,,4.1
IGT,,https://it.indeed.com/rc/clk?jk=0ffe0e022fcbedb9&fccid=686992c6831d8b20&vjs=3,Implementation Manager (Technical Integration),00154 Roma,True,
Siemens,https://it.indeed.com/cmp/Siemens,https://it.indeed.com/rc/clk?jk=97aafa1c7045b9b8&fccid=ea6bb53f0b18b8f2&vjs=3,Project Manager Measurement Intelligence Industry,Da remoto in 20128 Milano,True,4.0
Hitachi Rail STS S.p.A.,https://it.indeed.com/cmp/Hitachi-Rail,https://it.indeed.com/rc/clk?jk=4e89357e9e4fc019&fccid=b727a0823ada2316&vjs=3,Senior Contract Manager,16151 Genova,,3.4
Tesmec Rail - sede di Bitetto (BA),,https://it.indeed.com/rc/clk?jk=87092a51629a2aee&fccid=b8559b5d0577f9cf&vjs=3,Project Manager,"Bitetto, Puglia",,
Sabanet,,https://it.indeed.com/rc/clk?jk=3f837f9f96afec97&fccid=e25e90a899d650f4&vjs=3,PROJECT MANAGER JUNIOR,"Taranto, Puglia",,
Prada,https://it.indeed.com/cmp/Prada,https://it.indeed.com/rc/clk?jk=9811bf2cd30a5c98&fccid=72865ece688ddd4f&vjs=3,DAM Project Manager,"Milano, Lombardia",,3.9
Onyx Technology S.r.l,,https://it.indeed.com/rc/clk?jk=0533fbdae06b33bd&fccid=91b0cf0279b12ebb&vjs=3,Security Project Manager (Rm),"Roma, Lazio",,
Canonical - Jobs,,https://it.indeed.com/rc/clk?jk=75acc370690df544&fccid=d40b824c7b625849&vjs=3,Distributed Systems Quality Engineering Manager,"Da remoto in Roma, Lazio",,
Segula Technologies,https://it.indeed.com/cmp/Segula-Technologies,https://it.indeed.com/rc/clk?jk=6611fa6d0b2a404c&fccid=215c366cd4fc84aa&vjs=3,Progettista CAD,"Roma, Lazio",True,3.1
BIP - Business Integration Partners,https://it.indeed.com/cmp/Business-Integration-Partners,https://it.indeed.com/rc/clk?jk=0a44b8d7f74d2220&fccid=c7fb5f7b576a671c&vjs=3,PM IT Banking,"Roma, Lazio",,3.3
GSK,https://it.indeed.com/cmp/Glaxosmithkline,https://it.indeed.com/rc/clk?jk=a7ef65c900752e8f&fccid=4e42ec53f4b93e02&vjs=3,Project & Process Engineer,"Parma, Emilia-Romagna",True,4.2
GCHCONSULTING srl,,https://it.indeed.com/rc/clk?jk=a3d0af47f35f6d33&fccid=6efa0b9beedf3a77&vjs=3,ANALISTA FUNZIONALE,Da remoto in 00100 Roma,,
Altran,,https://it.indeed.com/rc/clk?jk=06efbf13d5530a78&fccid=4cedac39f7fd617d&vjs=3,DELIVERY RISK & CONTRACT MANAGER ROME (H/F),"Roma, Lazio",,
STE ENERGY Srl,,https://it.indeed.com/company/STE-Energy/jobs/Project-Manager-Junior-03b65817d74e69c5?fccid=b660c3fa00c30947&vjs=3,PROJECT MANAGER JUNIOR,35141 Padova,True,
Canonical - Jobs,,https://it.indeed.com/rc/clk?jk=364f4a8f52336d07&fccid=d40b824c7b625849&vjs=3,Kubernetes Product Manager,"Da remoto in Roma, Lazio",,
Balich Worldwide Shows,https://it.indeed.com/cmp/Balich-Worldwide-Shows,https://it.indeed.com/rc/clk?jk=5be885945c83f7b3&fccid=866cab71fab682c0&vjs=3,Project Manager - Freelance,"Milano, Lombardia",,4.9
Balich Worldwide Shows,https://it.indeed.com/cmp/Balich-Worldwide-Shows,https://it.indeed.com/rc/clk?jk=5be885945c83f7b3&fccid=866cab71fab682c0&vjs=3,Project Manager - Freelance,"Milano, Lombardia",,4.9
Orienta,https://it.indeed.com/cmp/Orienta,https://it.indeed.com/rc/clk?jk=df60db2240b55f55&fccid=ce62c62f0f9cdf7d&vjs=3,Project Manager cantiere edilizia pubblica Italia,"Firenze, Toscana",True,4.3
PTC,,https://it.indeed.com/company/PTC/jobs/Junior-Project-Manager-dc339c9d30ceab0b?fccid=fd02f21940de3731&vjs=3,Junior Project Manager,"Bologna, Emilia-Romagna",,
Hunters Group,,https://it.indeed.com/rc/clk?jk=191f3ff2ed7b1bd7&fccid=04799ab2170ae88f&vjs=3,Construction manager,"Roma, Lazio",,
Atena Spa,https://it.indeed.com/cmp/Atena-Spa-7,https://it.indeed.com/rc/clk?jk=9361f061a1e3fd0c&fccid=e4932a70010c7e7b&vjs=3,JUNIOR PROJECT MANAGER - settore telecomunicazioni (Rif. 231095),10028 Trofarello,,4.1
STMicroelectronics,https://it.indeed.com/cmp/Stmicroelectronics,https://it.indeed.com/rc/clk?jk=431a51c79a25bfae&fccid=ad65d09ba600d810&vjs=3,Monitoring & Execution M/F,"Catania, Sicilia",,4.1
Canonical - Jobs,,https://it.indeed.com/rc/clk?jk=5a7c2e488a124ae0&fccid=d40b824c7b625849&vjs=3,Linux Desktop Gaming Product Manager,"Da remoto in Roma, Lazio",,
Danieli Group,https://it.indeed.com/cmp/Danieli-Group-2,https://it.indeed.com/rc/clk?jk=ba8610d8aa01c4db&fccid=930dbc5e69ace386&vjs=3,Site HR Manager,"Buttrio, Friuli-Venezia Giulia",True,3.7
Hayat APS,,https://it.indeed.com/company/Hayat-APS/jobs/Project-Manager-Culturale-4078a73de84a53f8?fccid=82c3b042cb5f7597&vjs=3,Project Manager culturale,"Bologna, Emilia-Romagna",True,
Chiesi Farmaceutici,https://it.indeed.com/cmp/Chiesi-Farmaceutici-S.p.a.,https://it.indeed.com/rc/clk?jk=ad4c21a8055db07a&fccid=181e073245c46c22&vjs=3,Global Demand & Project Manager - Data Management,"Da remoto in Parma, Emilia-Romagna",True,4.2
Case New Holland Industrial,https://it.indeed.com/cmp/Cnh-Industrial,https://it.indeed.com/rc/clk?jk=ec6383696e4e758d&fccid=e2c5b29a1878dd23&vjs=3,Driveline Project Manager,"Lecce, Puglia",,3.8
Seltis Business Line di Seltis Hub S.r.l.,,https://it.indeed.com/rc/clk?jk=62f9f633fda31efe&fccid=67912ca7fdba1b1d&vjs=3,Project Engineer - Settore Contract & Hospitality,62100 Macerata,,
Sidel,https://it.indeed.com/cmp/Sidel,https://it.indeed.com/rc/clk?jk=e03503e1db8f6a08&fccid=3279269af0f281cc&vjs=3,Automation 4.0. Project Manager,"Parma, Emilia-Romagna",,3.9
BIP - Business Integration Partners,https://it.indeed.com/cmp/Business-Integration-Partners,https://it.indeed.com/rc/clk?jk=e640a39884a172ee&fccid=c7fb5f7b576a671c&vjs=3,Manager ambito Istituzioni Finanziarie con competenze Organizzazione / PMO,"Roma, Lazio",,3.3
MAS Management Network,,https://it.indeed.com/company/MAS-Management-Network/jobs/Project-Manager-Fashion-8720c7c9592fdbbc?fccid=8a0a226ea6106750&vjs=3,Project Manager settore Fashion,"Da remoto in Firenze, Toscana",True,
Procter & Gamble,https://it.indeed.com/cmp/Procter-&-Gamble,https://it.indeed.com/rc/clk?jk=28b018ec37ee1f20&fccid=2da0dedf6df97194&vjs=3,Analytics & Insights Internship,"Roma, Lazio",,4.1
juwi Energie Rinnovabili,,https://it.indeed.com/rc/clk?jk=17a114f44e03b22b&fccid=6fd9c173ee6535a2&vjs=3,Project Development Manager (m/f/d),,,
Siemens Mobility S.r.l.,https://it.indeed.com/cmp/Siemens,https://it.indeed.com/rc/clk?jk=3e16db191b5d99a5&fccid=ea6bb53f0b18b8f2&vjs=3,Senior Project Manager Rails & Infrastructures,"Da remoto in Milano, Lombardia",,4.0
LU-VE,,https://it.indeed.com/rc/clk?jk=b3641fee1094f323&fccid=fa73853427c3c962&vjs=3,Junior Project Manager,"Varese, Lombardia",True,
Merli Srl,,https://it.indeed.com/company/Merli-Srl/jobs/Junior-Project-Manager-e2060e848b8b91eb?fccid=cb5917b7531d38bb&vjs=3,Junior Project Manager,47122 Forlì,,
ALSTOM,https://it.indeed.com/cmp/Alstom,https://it.indeed.com/rc/clk?jk=68262644b4bdd8a6&fccid=70bbeb2771f8c8e7&vjs=3,Safety Assurance Manager,"Roma, Lazio",,4.0
Bitfox Srl,,https://it.indeed.com/company/BitFox-Srl/jobs/Project-Manager-3cee9a2b34e183c9?fccid=793576b113c5cf48&vjs=3,Project Manager,"Treviso, Veneto",,
Link HR,,https://it.indeed.com/rc/clk?jk=4616727badfc1149&fccid=7b0bcec93322f9ba&vjs=3,PROJECT MANAGER | EDILIZIA,"Vicenza, Veneto",True,
FFind,,https://it.indeed.com/rc/clk?jk=7f805abcbf9a534b&fccid=fd7e5a2077752cb3&vjs=3,PROJECT MANAGER ASSISTANT,"Palermo, Sicilia",,
TeaPak,,https://it.indeed.com/rc/clk?jk=0f7460b87ccd4d95&fccid=61796d8de8d3b615&vjs=3,Project Manager Junior,40026 Imola,True,
Clarivate,,https://it.indeed.com/rc/clk?jk=27f9147549bea86c&fccid=39cdc80b98113925&vjs=3,Project Manager - Remote,"Da remoto in Sasso Marconi, Emilia-Romagna",,
Deutsche Bank,https://it.indeed.com/cmp/Deutsche-Bank,https://it.indeed.com/rc/clk?jk=65415c6b5fdfc3b0&fccid=f1d8e147024abb3f&vjs=3,Private & Wealth Management - Junior Project Manager,"Milano, Lombardia",,3.8
Takeda Pharmaceutical,https://it.indeed.com/cmp/Takeda-Pharmaceuticals,https://it.indeed.com/rc/clk?jk=2f42fe9668be72d6&fccid=4819693c833d5b6e&vjs=3,Regional Access Manager - Tuscany,"Da remoto in Roma, Lazio",,3.7
Ram Oil & Gas,,https://it.indeed.com/rc/clk?jk=fd0aed74815c0aa1&fccid=c74afc712c784790&vjs=3,Project Manager,50141 Firenze,,
Hitachi Energy,,https://it.indeed.com/rc/clk?jk=0f9f85c7cfdd4473&fccid=8774bcbf6844c59c&vjs=3,Commissioning Engineer,"Santa Palomba, Lazio",True,
AFEX,,https://it.indeed.com/company/AFEX/jobs/Junior-Compliance-Analyst-ea098d28f3490db5?fccid=efa43b952e2d8ac5&vjs=3,Junior Compliance Analyst - Rome,"Roma, Lazio",,
Altran,,https://it.indeed.com/rc/clk?jk=3bce9394cd719f06&fccid=4cedac39f7fd617d&vjs=3,STAGE TEST MANAGER_ROMA E MILANO,"Roma, Lazio",,
Techyon,https://it.indeed.com/cmp/Techyon,https://it.indeed.com/rc/clk?jk=aea09bc27989ff9d&fccid=066128dfeb4dabc4&vjs=3,IT PRODUCT MANAGER | MANAGER DI PRODOTTO | PROJECT MANAGEMENT,"Provincia di Perugia, Umbria",True,4.6
CUBE RETAIL CONTRACT SRL,,https://it.indeed.com/company/CUBE-RETAIL-CONTRACT-SRLS/jobs/Project-Manager-Junior-9555cc1fba457e82?fccid=0be58661b2ba2ea4&vjs=3,PROJECT MANAGER JUNIOR,37036 San Martino Buon Albergo,True,
ATB Holding,,https://it.indeed.com/rc/clk?jk=3ac70d59049a4978&fccid=1412865139f96d8e&vjs=3,Project Manager HME,"Roncadelle, Lombardia",True,
Lotus Bakeries,,https://it.indeed.com/company/Lotus-Bakeries/jobs/Country-Manager-Italy-25ecf8a859573417?fccid=029023388a356d70&vjs=3,Country Manager Italy,"Milano, Lombardia",,
Alfa academy,,https://it.indeed.com/rc/clk?jk=9e025dcd57ad3c2d&fccid=2bc6e6e89f6760d5&vjs=3,Project Manager,80026 Casoria,,
Ecol Studio TPU srl,,https://it.indeed.com/rc/clk?jk=ec37f777bca81a70&fccid=419a7428cd4facc5&vjs=3,Project Manager - Yghea,"Bologna, Emilia-Romagna",,
Maka Language Consulting,,https://it.indeed.com/rc/clk?jk=e0f8a45bb7d08f99&fccid=5727e2fbe849c3ea&vjs=3,Traduttori,"Milano, Lombardia",,
Syneos Health Commercial Solutions,,https://it.indeed.com/rc/clk?jk=f826e8ab8ea80651&fccid=062aeac481a6848e&vjs=3,Regional Business Manager - Rome,"Da remoto in Roma, Lazio",,
"Resman S.r.l., divisione HeadHunting",,"https://it.indeed.com/company/Resman-S.r.l.,-divisione-HeadHunting/jobs/Junior-Project-Manager-c206e96b2ce216cd?fccid=82311de55f2a3cd4&vjs=3",Junior Project Manager,"Da remoto in Torino, Piemonte",,
NTT Data,https://it.indeed.com/cmp/Ntt-Data,https://it.indeed.com/rc/clk?jk=b23fff302f6e09d3&fccid=91444a28cb181211&vjs=3,Billing Project Manager,"Roma, Lazio",,3.4
Getronics,https://it.indeed.com/cmp/Getronics,https://it.indeed.com/rc/clk?jk=5757bc261a5cdbea&fccid=06bd806195b7346b&vjs=3,Project Manager,"Da remoto in Milano, Lombardia",,3.6
Meditrial Europe Ltd.,,https://it.indeed.com/rc/clk?jk=474d8805ad623536&fccid=eee695e1b26a1b83&vjs=3,Clinical Research Associate - Rome,"Roma, Lazio",,
Prada,https://it.indeed.com/cmp/Prada,https://it.indeed.com/rc/clk?jk=f4ec467802dede24&fccid=72865ece688ddd4f&vjs=3,IT Manager Regional Warehouse,"Milano, Lombardia",True,3.9
DXC Technology,https://it.indeed.com/cmp/Dxc-Technology,https://it.indeed.com/rc/clk?jk=031a12b3da7c037b&fccid=feaabf8e6a699d3c&vjs=3,Program Manager,"Da remoto in Pomezia, Lazio",,3.2
International Rescue Committee,,https://it.indeed.com/rc/clk?jk=57d9c20a91f2ee2f&fccid=78143039abd7ee91&vjs=3,Project Manager,"Da remoto in Milano, Lombardia",,
Barry Callebaut,,https://it.indeed.com/rc/clk?jk=d92e4fb4f7f69bed&fccid=d5dfcb1c31e0c244&vjs=3,R&D Manager,66038 San Vito Chietino,,
Alstom,https://it.indeed.com/cmp/Alstom,https://it.indeed.com/rc/clk?jk=c325e99066caaffc&fccid=70bbeb2771f8c8e7&vjs=3,Project Manager,"Bologna, Emilia-Romagna",,4.0
Thales Group,https://it.indeed.com/cmp/Thales,https://it.indeed.com/rc/clk?jk=c2b79cd15d07fe5e&fccid=b920aab5fd60595d&vjs=3,Project Manager Navigation and Surveillance,"Gorgonzola, Lombardia",,3.9
IT Partner Italia,https://it.indeed.com/cmp/IT-Partner-Italia,https://it.indeed.com/company/IT-Partner-Italia/jobs/Project-Manager-e4116e8903baac04?fccid=4b276a66b3fe8bf5&vjs=3,Project Manager – Firenze,"Firenze, Toscana",True,4.0
Sacmi Packaging & Chocolate S.p.A.,,https://it.indeed.com/rc/clk?jk=117e9262ed5e07cc&fccid=5558c89edf3c913a&vjs=3,Project manager,"Monticello d'Alba, Piemonte",,
Hitachi Rail STS S.p.A.,https://it.indeed.com/cmp/Hitachi-Rail,https://it.indeed.com/rc/clk?jk=27f57173fe5be127&fccid=b727a0823ada2316&vjs=3,Senior Supply Chain Manager,80147 Napoli,,3.4
Siemens,https://it.indeed.com/cmp/Siemens,https://it.indeed.com/rc/clk?jk=eac380e85bd2e133&fccid=ea6bb53f0b18b8f2&vjs=3,Senior Project Manager for Protection & Control Business,Da remoto in 20128 Milano,,4.0
Alten Italia,https://it.indeed.com/cmp/Alten,https://it.indeed.com/rc/clk?jk=2bb0f1e40e5b779a&fccid=f452ff89851e4578&vjs=3,Project Manager - ENGINEERING,"Genova, Liguria",,3.0
